abide,respecter
either,Soit
elbow,coude
elder,aîné
embrace,embrasse
emilia,Émilie
emperor,empereur
empty,vide
encounter,rencontre
endure,supporter
enemies,ennemis
enemy,ennemi
enjoy,prendre plaisir
enobarbus,énobarbus
enough,assez
enter,entrer
entertain,divertir
entertainment,divertissement
entreat,supplier
equal,égal
estate,biens
eternal,éternel
every,chaque
everything,tout
excellent,excellent
except,sauf
excuse,excuse
execution,exécution
exeter,Exeter
exeunt,sortir
express,Express
faces,visages
faint,perdre connaissance
fairy,Fée
faith,Foi
falls,des chutes
false,faux
familiar,familier
fancy,fantaisie
farewell,adieu
farther,plus loin
fashion,mode
fatal,fatal
father,père
fault,faute
favour,favoriser
fearful,craintif
fears,peurs
feast,le banquet
feeble,faible
fellow,compagnon
fenton,Fenton
ferdinand,Ferdinand
fetch,chercher
field,champ
fiend,démon
fierce,féroce
fiery,ardent
fight,bats toi
figure,figure
finds,trouve
finger,doigt
first,première
flatter,flatter
flesh,la chair
flies,mouches
flight,vol
flood,inonder
flourish,fleurir
flower,fleur
flowers,fleurs
follow,suivre
folly,folie
foolish,insensé
fools,imbéciles
forbear,ancêtre
forbid,interdire
force,Obliger
forces,les forces
forest,forêt
forget,oublier
former,ancien
forsooth,en vérité
forth,en avant
fortune,fortune
forward,vers l'avant
fought,combattu
found,a trouvé
fourth,Quatrième
frame,Cadre
france,France
freely,librement
french,français
fresh,Frais
friend,ami
frown,froncer les sourcils
fruit,fruit
further,plus loin
gallant,galant
garden,jardin
gates,portes
gaunt,décharné
general,général
gentle,doux
ghost,fantôme
given,donné
giving,donnant
glass,verre
glorious,glorieux
glory,gloire
going,Aller
golden,d'or
goodness,la bonté
gower,gower
grace,la grâce
grant,subvention
grave,la tombe
great,génial
green,vert
greet,saluer
grief,douleur
grieve,pleurer
gross,brut
ground,sol
grown,grandi
guard,garde
guess,devine
guilty,coupable
habit,habitude
hands,mains
hanging,pendaison
hangs,bloque
happiness,bonheur
happy,heureux
haste,hâte
hateful,odieux
having,ayant
hazard,danger
heads,têtes
health,santé
heard,entendu
heart,cœur
heaven,paradis
heavy,lourd
hector,Hector
heels,talons
hence,Par conséquent
henceforth,désormais
hereafter,"ci-après, par la suite"
herself,se
highness,altesse
holds,tient
hollow,creux
honest,honnête
horse,cheval
hostess,hôtesse
hours,heures
house,maison
hubert,Hubert
humble,humble
humour,humour
hundred,cent
husband,mari
ignorant,ignorant
image,image
includes,comprend
indeed,En effet
infinite,infini
innocent,innocent
instant,instant
intend,avoir l'intention
intent,intention
issue,problème
itself,lui-même
jealous,jaloux
jewel,bijou
judge,juge
judgment,jugement
julia,Julia
justice,Justice
keeps,garde
kindness,la gentillesse
kingdom,Royaume
kings,rois
knave,fripon
kneel,s'agenouiller
knees,les genoux
knife,couteau
knight,Chevalier
knock,frappe
knowing,connaissance
knowledge,connaissance
known,connu
knows,sait
labour,la main d'oeuvre
ladies,Dames
ladyship,Madame
lands,terres
large,grand
laugh,rire
launce,lancer
lawful,légitime
learn,apprendre
learned,appris
least,moins
leave,laisser
leisure,loisir
leontes,leontes
letter,lettre
liberty,liberté
library,bibliothèque
liege,Liege
lieutenant,lieutenant
light,lumière
limbs,membres
little,peu
lives,vies
living,vivant
longer,plus long
looks,regards
loose,ample
lords,seigneurs
lordship,seigneurie
lorenzo,Lorenzo
lovely,charmant
lovers,les amoureux
loves,aime
loving,aimant
lucentio,Lucentio
machine,machine
madness,la démence
maiden,jeune fille
maids,servantes
maintain,maintenir
majesty,majesté
makes,fait du
making,fabrication
malice,malice
manner,manière
march,Mars
marcius,Marcius
marcus,Marcus
margaret,margaret
maria,maria
mariana,Mariana
marriage,mariage
marry,marier
master,Maître
match,rencontre
matter,matière
meaning,sens
means,veux dire
meant,signifiait
measure,mesure
meeting,réunion
membership,adhésion
memory,Mémoire
merchant,marchande
mercy,pitié
merit,mérite
merry,joyeux
messenger,Messager
midnight,minuit
might,pourrait
mighty,puissant
milan,Milan
minds,esprits
minister,ministre
miranda,Miranda
mirth,gaieté
mischief,sottises
misery,misère
mistake,erreur
mistress,maîtresse
modest,modeste
money,argent
monster,monstre
month,mois
morning,Matin
morrow,demain
mortal,mortel
mother,mère
motion,mouvement
mouth,bouche
mowbray,mowbray
murder,meurtre
murther,aller plus loin
music,la musique
myself,moi même
naked,nu
names,des noms
native,originaire de
natural,Naturel
nature,la nature
needs,Besoins
neighbour,voisine
neither,ni
never,jamais
niece,nièce
night,nuit
noble,noble
noise,bruit
nothing,rien
nought,néant
number,nombre
nurse,infirmière
oaths,serments
obedience,obéissance
oberon,Oberon
object,objet
occasion,occasion
offence,infraction
offend,offenser
offer,offre
office,Bureau
often,souvent
oliver,oliver
opinion,opinion
order,ordre
orlando,orlando
other,autre
others,autres
ourselves,nous-mêmes
outward,vers l'extérieur
oxford,Oxford
padua,Padoue
pains,des douleurs
painted,peint
painter,peintre
palace,palais
pandarus,Pandarus
paper,papier
pardon,pardon
paris,Paris
parolles,parolles
parted,séparé
particular,particulier
partly,partiellement
parts,les pièces
party,fête
passage,passage
passion,la passion
patience,la patience
patient,patient
paulina,paulina
peace,paix
pedro,pedro
people,gens
perceive,apercevoir
percy,Percy
perfect,parfait
perhaps,peut-être
peril,péril
permission,autorisation
person,la personne
personal,personnel
phebe,phebe
philip,Philippe
picture,image
piece,pièce
pistol,pistolet
place,endroit
plague,peste
plain,plaine
plead,plaider
please,S'il vous plaît
pleasure,plaisir
pluck,cueillir
poins,poins
point,point
poison,poison
policy,politique
polixenes,polixènes
pompey,pompey
porter,porter
possible,possible
posthumus,posthume
pound,livre
power,Puissance
practice,entraine toi
praise,louange
prayers,prières
precious,précieux
prepare,préparer
presence,présence
present,présent
pretty,jolie
pride,fierté
priest,prêtre
prince,prince
prison,prison
private,privé
prize,prix
proceed,procéder
proclaim,proclamer
profit,profit
prohibited,interdit
project,projet
prologue,prologue
promise,promettre
proof,preuve
proper,correct
protector,protecteur
protest,manifestation
proud,fier
prove,prouver
provided,à condition de
public,Publique
purpose,objectif
purse,bourse
quality,qualité
quarrel,querelle
queen,reine
question,question
quick,rapide
quiet,silencieux
quite,assez
quoth,quoth
raise,élever
ransom,une rançon
rascal,coquin
rather,plutôt
readable,lisible
ready,prêt
realm,domaine
reason,raison
receive,recevoir
regard,qui concerne
reign,règne
reignier,règne
remain,rester
remedy,remède
remember,rappelles toi
render,rendre
repair,réparation
repent,se repentir
report,rapport
reputation,réputation
request,demande
respect,le respect
return,revenir
revenge,vengeance
reverence,révérence
revolt,révolte
right,droite
rivers,rivières
rogue,coquin
rotten,pourri
rough,rugueux
round,rond
royal,Royal
sacred,sacré
safety,sécurité
saint,Saint
salerio,salerio
satisfied,satisfait
saying,en disant
scarce,rare
scene,scène
scorn,mépris
search,chercher
season,saison
second,seconde
secret,secret
seeing,voyant
senate,sénat
senator,sénateur
sense,sens
sentence,phrase
servant,serviteur
serve,servir
service,un service
seven,Sept
several,nombreuses
shadow,ombre
shake,secouer
shall,doit
shame,la honte
shape,forme
sharp,tranchant
shepherd,berger
shine,éclat
shore,rive
short,court
shortly,prochainement
should,devrait
shows,montre
sickness,maladie
sight,vue
silence,silence
silver,argent
simple,Facile
since,depuis
single,Célibataire
sirrah,sirrah
sister,sœur
skill,compétence
slain,tué
slander,calomnie
slave,esclave
sleep,sommeil
slender,mince
small,petit
smell,odeur
smile,sourire
soldier,soldat
solemn,solennel
somerset,somerset
something,quelque chose
sometime,parfois
sooner,plus tôt
soothsayer,devin
sorrow,chagrin
sorry,Pardon
sought,recherché
souls,âmes
sound,du son
sovereign,souverain
spare,de rechange
speak,parler
speaks,parle
special,spécial
speech,discours
speed,la vitesse
spend,dépenser
spirit,esprit
spite,dépit
spoke,parlait
sport,sport
spring,printemps
staff,Personnel
stain,tache
stand,supporter
stars,étoiles
state,Etat
steal,voler
steel,acier
steward,intendant
still,encore
stomach,estomac
stone,calcul
stood,se tenait
store,boutique
storm,orage
story,récit
straight,tout droit
strange,étrange
street,rue
strength,force
strike,la grève
stroke,accident vasculaire cérébral
strong,fort
struck,frappé
study,étude
stuff,des trucs
subject,matière
substance,substance
success,Succès
sudden,soudain
suddenly,tout à coup
suffer,souffrir
suffolk,suffolk
summer,été
supper,souper
surely,sûrement
surrey,Surrey
suspect,suspect
swear,jurer
sweat,transpiration
sweet,sucré
swift,rapide
sword,épée
swore,juré
sworn,juré
syracuse,Syracuse
table,table
tailor,tailleur
taken,pris
talbot,talbot
tarry,goudronneux
taste,goût
taught,enseigné
teach,enseigner
tears,larmes
tedious,fastidieux
teeth,les dents
tells,raconte
tempest,tempête
tender,soumissionner
terms,termes
thank,remercier
their,leur
themselves,se
there,Là
therefore,par conséquent
therein,la bride
these,celles-ci
thief,voleur
thing,chose
think,pense
third,troisième
thomas,Thomas
those,ceux
though,bien que
thought,pensée
thrive,prospérer
throat,gorge
throne,trône
through,par
throw,jeter
thrust,poussée
thunder,tonnerre
times,fois
title,Titre
together,ensemble
tongue,langue
tonight,ce soir
touch,toucher
toward,vers
tower,la tour
train,train
traitor,traitre
tread,bande de roulement
treason,trahison
treasure,Trésor
trial,procès
tribunes,tribunes
trick,tour
triumph,triomphe
trouble,difficulté
truly,vraiment
trumpet,trompette
trust,confiance
truth,vérité
turns,se tourne
twice,deux fois
tyrant,tyran
ulysses,Ulysse
uncle,oncle
under,sous
understand,comprendre
undertake,entreprendre
undone,défait
unhappy,malheureux
unknown,inconnue
unless,sauf si
until,jusqu'à
unworthy,indigne
utter,prononcer
valentine,Valentin
valiant,vaillant
valour,valeur
vantage,avantage
vengeance,vengeance
venice,venise
version,version
victory,la victoire
villain,scélérat
viola,alto
violent,violent
virtue,vertu
visit,visite
voice,voix
walls,des murs
warlike,guerrier
warrant,mandat
waste,déchets
watch,regarder
water,eau
wealth,richesse
weapons,armes
weary,se lasser
weeds,mauvaises herbes
weeping,larmes
weight,poids
welcome,Bienvenue
wench,jeune fille
whence,d'où
where,où
wherein,où
whether,qu'il s'agisse
which,lequel
while,tandis que
whither,où
whole,entier
whore,putain
whose,dont
widow,veuve
willing,prêt
window,la fenêtre
wings,ailes
winter,hiver
wisdom,sagesse
witch,sorcière
withal,avec
within,dans
without,sans pour autant
witness,témoin
wives,épouses
wolsey,Wolsey
woman,femme
wonder,merveille
works,travaux
world,monde
worse,pire
worship,culte
worth,vaut
would,aurait
wound,blessure
wounded,blessés
wrath,colère
wretch,misérable
write,écrire
written,écrit
wrong,faux
wrought,forgé
yield,rendement
yonder,là-bas
young,Jeune
yours,le tiens
yourself,toi même
youth,jeunesse
